iter	Passed	Remaining
0	154	154371
1	159	79415
2	164	54528
3	169	42112
4	174	34666
5	179	29773
6	184	26203
7	189	23545
8	195	21497
9	200	19835
10	205	18443
11	210	17331
12	215	16373
13	221	15573
14	226	14876
15	231	14264
16	237	13718
17	242	13246
18	250	12917
19	255	12503
20	261	12171
21	266	11842
22	272	11556
23	277	11289
24	282	11027
25	289	10828
26	294	10612
27	300	10418
28	304	10208
29	310	10026
30	315	9861
31	320	9698
32	325	9552
33	331	9414
34	338	9326
35	343	9191
36	348	9070
37	353	8947
38	358	8830
39	363	8727
40	368	8617
41	373	8521
42	379	8445
43	385	8369
44	390	8280
45	395	8202
46	400	8116
47	405	8036
48	410	7970
49	415	7891
50	421	7838
51	427	7793
52	432	7734
53	438	7674
54	443	7614
55	447	7551
56	453	7496
57	457	7433
58	462	7377
59	467	7326
60	474	7298
61	478	7239
62	484	7207
63	489	7159
64	494	7109
65	500	7076
66	505	7038
67	510	6999
68	518	6995
69	523	6956
70	529	6927
71	534	6891
72	540	6860
73	545	6826
74	550	6789
75	557	6772
76	560	6717
77	563	6658
78	566	6598
79	568	6540
80	571	6480
81	573	6415
82	574	6343
83	575	6279
84	578	6222
85	579	6161
86	581	6101
87	582	6041
88	584	5982
89	586	5926
90	587	5869
91	588	5811
92	589	5753
93	591	5698
94	592	5643
95	593	5589
96	594	5536
97	595	5483
98	596	5431
99	597	5381
100	599	5333
101	600	5286
102	603	5252
103	604	5205
104	605	5163
105	606	5118
106	608	5074
107	609	5030
108	610	4987
109	613	4967
110	619	4961
111	624	4952
112	630	4951
113	635	4941
114	641	4935
115	646	4925
116	650	4906
117	654	4893
118	659	4881
119	664	4870
120	669	4862
121	673	4848
122	678	4839
123	683	4829
124	688	4818
125	693	4807
126	696	4790
127	701	4778
128	706	4769
129	711	4762
130	716	4755
131	722	4751
132	726	4738
133	731	4728
134	737	4722
135	742	4714
136	747	4705
137	752	4697
138	756	4685
139	761	4674
140	765	4665
141	769	4648
142	774	4639
143	780	4639
144	785	4634
145	792	4634
146	797	4628
147	802	4619
148	807	4611
149	812	4605
150	818	4600
151	823	4592
152	828	4586
153	833	4578
154	838	4571
155	844	4569
156	849	4562
157	859	4578
158	864	4572
159	869	4566
160	873	4549
161	878	4545
162	883	4536
163	888	4531
164	894	4526
165	900	4522
166	905	4516
167	910	4506
168	915	4501
169	920	4496
170	925	4487
171	931	4481
